,평점,본문
10,5,늘 쓰는 제품입니다 다른 선크림은 유분기가 심하거나 뜨거나 둘중 하나인데 이 제품은 안 그래서 좋아요단 백탁 있는데 처음에만 좀 하얗지 나중에는 cc크림 느낌으로 자연스럽게 하늘 쓰는 제품입니다 다른 선크림은 유분기가 심하거나 뜨거나 둘중 하나인데 이 제품은 안 그래서 좋아요단 백탁 있는데 처음에만 좀 하얗지 나중에는 cc크림 느낌으로 자연스럽게 하얘집니다키즈 제품이긴 한데 혹시 피부 예민하신 성인 분들 있으시면 한번 써보세요 좋습니다
11,4,배송 신경써주세요깨지지않는거지만 포장에 신경쓰셨으면좋겠어요 배송온 상태가 엉망이라 생상품 받는다는생각이 안드네요2세트주문이면 컵도 2세트와야하는거아닌지요? 한세트밖에 오지않았습니다 별 필요없는거라 괜찮지만 사은품도 꼼꼼히신경써서 보내셔야할꺼같네요
12,5,아기한테백탁 향은 정말 좋은데스틱형으로샀는데 이거바르면가오나시손으로 문질러줘야하는데 그러면 이걸 산 이유가없죠 손에 안묻히려고 스틱형으로산건데자외선차단도 잘안되아기한테백탁 향은 정말 좋은데스틱형으로샀는데 이거바르면가오나시손으로 문질러줘야하는데 그러면 이걸 산 이유가없죠 손에 안묻히려고 스틱형으로산건데자외선차단도 잘안되여 바닷가 갔는데 볼옆이  올가 쓰다가 이거쓰려느
13,5,강력추천!! 에바비바 썬크림 쓰다 이고 썬세스로 갈아타고마트에서 테스트해보고 구매하게되엇어요!바르니 백탁현상 없이 로션바르듯이 문질문질하니 부드럽게 촥 밀착되더라구요방과후활동강력추천!! 에바비바 썬크림 쓰다 이고 썬세스로 갈아타고마트에서 테스트해보고 구매하게되엇어요!바르니 백탁현상 없이 로션바르듯이 문질문질하니 부드럽게 촥 밀착되더라구요방과후활동 축구교실갈때 바를려고 샀어요!가격도 저렴히 잘 구매한것같아 만족입니다
14,4,믿고 써요 그린핑거 라인을 거의 다 써봤어요 로션 보습은 아쉬워서 지금은 세정쪽만 쓰고 있는데 썬제품도 괜찮았던 기억이 나서 선택했어요 다른 브랜드에서 샀던 썬제품에는 아이 피부에믿고 써요 그린핑거 라인을 거의 다 써봤어요 로션 보습은 아쉬워서 지금은 세정쪽만 쓰고 있는데 썬제품도 괜찮았던 기억이 나서 선택했어요 다른 브랜드에서 샀던 썬제품에는 아이 피부에 뭔가 올라왔는데 그린핑거는 안그래서 성분이 잘 맞나보다 싶어요 구성도 좋네요
15,4,타임특가로 타임특가로마트파는것보단확실히싸게잘구매한건가?ㅎㅎ요즘워낙마트에서도11을많이하니사실가격이싼건잘모르겠고귀찮아서인터넷에서가격비교도사실안해봄여튼애들여름에써야해서구매했고상품구타임특가로 타임특가로마트파는것보단확실히싸게잘구매한건가?ㅎㅎ요즘워낙마트에서도11을많이하니사실가격이싼건잘모르겠고귀찮아서인터넷에서가격비교도사실안해봄여튼애들여름에써야해서구매했고상품구성은마음에듭니다
16,5,워셔블선크림 봄이라 햇살이 좀 쎄진것 같아서 애기 발라주려고 삿어요주말 야외놀이나 유치원갈때 로션바르듯 발라주고 물로도 가볍게 지워진다니 안심하고 쓰고있어요 이벤트로 스틱형까지워셔블선크림 봄이라 햇살이 좀 쎄진것 같아서 애기 발라주려고 삿어요주말 야외놀이나 유치원갈때 로션바르듯 발라주고 물로도 가볍게 지워진다니 안심하고 쓰고있어요 이벤트로 스틱형까지 같이 구매해서 바쁜 아침에는 스틱형으로 슥슥 그어발라서 보내고 주말야외놀이 가기전엔 워셔블선크림 듬뿍ㅈ발라 나가요ㅎㅎ아이용으로 나온거라 자극도 없고 순한것 같아요!
17,5,나이 상관 없이 누구에게나 잘 맞을 제품 이 제품 하나만 있어도 어린아이부터 어른까지 관계 없이 잘 쓸 수 있어서 참 좋은 것 같아요가격대비 양도 많아서 많이 써도 아깝지 않네요나이 상관 없이 누구에게나 잘 맞을 제품 이 제품 하나만 있어도 어린아이부터 어른까지 관계 없이 잘 쓸 수 있어서 참 좋은 것 같아요가격대비 양도 많아서 많이 써도 아깝지 않네요선크림을 살 때 가장 신경쓰이는 부분이 백탁 현상인데 이 제품은 백탁현상도 없네요 ㅎㅎ 잘 쓰겠습니다
18,4,배송은 빠른데 제가 정말 초초10000 예민피부인데요 이것도 트러블이 없진 않네요ㅜㅜ바를때 백탁현상 있길래 순하겠다 싶어 나름 기대했는데 글고 눈시림현상도 있긴해요 그래배송은 빠른데 제가 정말 초초10000 예민피부인데요 이것도 트러블이 없진 않네요ㅜㅜ바를때 백탁현상 있길래 순하겠다 싶어 나름 기대했는데 글고 눈시림현상도 있긴해요 그래도 지금까지 거쳐온 다른 제품들에 비해선 트러블이나 눈시림이 적긴해요 가격도 착하고요
19,4,배송은 보통  아직 사용전  순수하다는 평때문에 구매함  성인 항상 순수한 제품 사용하고 있어서 해당 제품 상품평 보고 구매하게 되었습니다아직 사용전이고 유아용이라 걱정은 배송은 보통  아직 사용전  순수하다는 평때문에 구매함  성인 항상 순수한 제품 사용하고 있어서 해당 제품 상품평 보고 구매하게 되었습니다아직 사용전이고 유아용이라 걱정은 딱히 없내요배송은 보통클랜저 미니로 보내준것도 사용해볼 예정입니다
20,4,더운 여름 잘 보내겠습니다 항상 쓰던 제품이고 2017년 새로 나왔다고 해서 여러개 주문했는데 이 상품은 박스 포장이 안되어 있네요새로 사는 분들은 참고 하셔야 할 듯요더운 여름 잘 보내겠습니다 항상 쓰던 제품이고 2017년 새로 나왔다고 해서 여러개 주문했는데 이 상품은 박스 포장이 안되어 있네요새로 사는 분들은 참고 하셔야 할 듯요그거 말고는 아직 써보지 않아서저렴하게 사서 그런가부다 하고 잘 쓰겠습니다
21,4,부드럽게 잘 발려요  다른 크림들은 백탁 현상이나 뻑뻑하게 발리는 것들이 있는데 이건 로션 같이 잘 발립니다 따로 클렌징 티슈 없이 물로 닦고 목욕할 때 한번 더 클렌징 워시 부드럽게 잘 발려요  다른 크림들은 백탁 현상이나 뻑뻑하게 발리는 것들이 있는데 이건 로션 같이 잘 발립니다 따로 클렌징 티슈 없이 물로 닦고 목욕할 때 한번 더 클렌징 워시 물로 닦아 주고 있어요그런데로 잘 닦기는 것 같구요용량도 넉넉해서 아기 한 철 바르는데 무리 없을 것 같네요
