,평점,본문
10,5,주문하고 다음날 받았어요 햇빛 쨍한날 안바르고 나갔더니 벌써 얼굴 팔 다 타버려서ㅜㅜ급하게 주문했어요 아이 치약 바디워시 세제 다 몽디에스꺼 쓰는데 썬쿠션은 처음 주문했주문하고 다음날 받았어요 햇빛 쨍한날 안바르고 나갔더니 벌써 얼굴 팔 다 타버려서ㅜㅜ급하게 주문했어요 아이 치약 바디워시 세제 다 몽디에스꺼 쓰는데 썬쿠션은 처음 주문했어요ㅎ썬쿠션 뚜껑 포장 다 예쁘네요ㅎㅎ선물용으로도 좋을것같아요ㅎ엄청 촉촉해요 살짝 얼굴이 하애지는 효과도있네요ㅎ물에도 잘 씻기는데 저는 바디워시 살짝 발라서 씻겨주고있어요 11에 이가격이면 너무 좋은거같아요 올 여름은 몽디에스로 보내면 될것같아요3
11,4,하나는 아이 하나는 제가 쓰고 있어요 퍼프로 발라서 편하긴 한데 세안은 영 불편하네요ㅜ 어른은 클렌징 오일 사용하면 된다지만 아이는 아이세정제로만 닦으면 그대로 남아있어서 다른하나는 아이 하나는 제가 쓰고 있어요 퍼프로 발라서 편하긴 한데 세안은 영 불편하네요ㅜ 어른은 클렌징 오일 사용하면 된다지만 아이는 아이세정제로만 닦으면 그대로 남아있어서 다른 브랜드 클렌징 워터 사서 이중세안 시켜주고 있네요 다행히 아이가 거부감없이 클렌징하고 있긴한데 다음엔 물세안 가능한 제품으로 구입할래요
12,5,역시 몽디에스애기가 일반 썬크림은 거부하는데 엄마 화장품같은지 예쁘다 하자며 스스로톡톡톡하고 좋아하네요저는 향에 엄청 예민하고 중요하게 생각해요몽디에스가 향이 좋은건 역시 몽디에스애기가 일반 썬크림은 거부하는데 엄마 화장품같은지 예쁘다 하자며 스스로톡톡톡하고 좋아하네요저는 향에 엄청 예민하고 중요하게 생각해요몽디에스가 향이 좋은건 아니예요후기좋고 유해성분없다는 아기화장품에서 나는 향??!! 살짝 약냄새같기도 한데 막 애기몸에서 날정도로 향이 강한것도 아니고향보단 보습력이나 기능성에 집중하게되는아기화장품이라 향이 별로여서? 더 좋아요 ㅋ
13,5,35갤 아이가 아침마다 혼자서 톡톡 바르며 챙길수있으니 너무 좋아요백탁 없는 제품을 아주 얼굴이 허얘질때까지 발라서 당황스럽긴 하지만 확실히 바르고 야외활동하면 얼굴이 많이 타지35갤 아이가 아침마다 혼자서 톡톡 바르며 챙길수있으니 너무 좋아요백탁 없는 제품을 아주 얼굴이 허얘질때까지 발라서 당황스럽긴 하지만 확실히 바르고 야외활동하면 얼굴이 많이 타지않아요야외활동하다 오후에도 바르기 쉽게 스틱형도 얼른 구매해야겠어요
14,5,알레르기 때문에 순한 썬크림 찾다가 후기 좋아서 구매했어요무기자차라서 하얗긴 해요 자극 별로 없고 괜찮은 것 같아요!사용은 편해요 평소 쌩얼로 다닐 때 사용하려고 한거라 화장알레르기 때문에 순한 썬크림 찾다가 후기 좋아서 구매했어요무기자차라서 하얗긴 해요 자극 별로 없고 괜찮은 것 같아요!사용은 편해요 평소 쌩얼로 다닐 때 사용하려고 한거라 화장할 때 밀리는지는 모르겠어요요즘처럼 마스크 쓰고 다닐 때 좋아요
15,4,아기 쓰는 거지만 피부 예민한 제가 쓰려고 구입했어요마스크 쓰고 다니니 화장도 하지 않고여름이라 썬케어는 해야할 듯  해서요일단 촉촉하고 백탁없어 좋아요 피부 자극도 없고약간 쿨링아기 쓰는 거지만 피부 예민한 제가 쓰려고 구입했어요마스크 쓰고 다니니 화장도 하지 않고여름이라 썬케어는 해야할 듯  해서요일단 촉촉하고 백탁없어 좋아요 피부 자극도 없고약간 쿨링감도 느껴져요다만 사용하다보니 양이 좀 적긴 한 것 같네요
16,5,세수할때 꼼꼼히 씻기는게 좀 힘들지만 이건 발라줘야합니다! 하나는 애기가 쓰고 하나는 제가 써요 밖에 오래있는거 아니라면 어른도 가능합니다 사용하기도 편리하고 로션 바디워시 세수할때 꼼꼼히 씻기는게 좀 힘들지만 이건 발라줘야합니다! 하나는 애기가 쓰고 하나는 제가 써요 밖에 오래있는거 아니라면 어른도 가능합니다 사용하기도 편리하고 로션 바디워시 다 몽디에스꺼 써서 믿음이가는 브랜드입니다
17,5,아이가 화장하는것 같다며 좋아해요 구지 제가 챙겨서 발라주지 않아도 자기가 알아서 잘바르네요7살5살 짜리 남동생한테도 자기가 화장해준다며 발라주고 그것만 해도 편한데 11 행아이가 화장하는것 같다며 좋아해요 구지 제가 챙겨서 발라주지 않아도 자기가 알아서 잘바르네요7살5살 짜리 남동생한테도 자기가 화장해준다며 발라주고 그것만 해도 편한데 11 행사까지 하니 앞으로 쭉 구매 예정각입니다 ㅎㅎ
18,4,묽지 않아서 발림성은 보통이에요 백탁이 별로 없는건 좋네요 양은 적어 보입니다 애들이 더운데 선크림바르고 마스크착용하니 작은 두드러기 같은 것들이 올라와서 더 순한 성분의 선크림 묽지 않아서 발림성은 보통이에요 백탁이 별로 없는건 좋네요 양은 적어 보입니다 애들이 더운데 선크림바르고 마스크착용하니 작은 두드러기 같은 것들이 올라와서 더 순한 성분의 선크림 찾다가 구매했어요 두드러기가 덜 했으면 좋겠네요
19,5,아기가 아제 돌 지나서 여름이 다가오니선크림을 사용해야 할것 같아서 구매했어요선스틱과 많이 고민했는데스틱은 골고루 바르기 힘들것 같아서쿠션으로 샀어요쿠션으로 바를때 아기가 가만히 아기가 아제 돌 지나서 여름이 다가오니선크림을 사용해야 할것 같아서 구매했어요선스틱과 많이 고민했는데스틱은 골고루 바르기 힘들것 같아서쿠션으로 샀어요쿠션으로 바를때 아기가 가만히 있는게너무 신기하네요 ㅋㅋㅋ
20,4,30개월 남아 아기 발라주려고 샀어요 종종 제가 화장하는 모습을 따라할때가 있어서 쿠션형으로 샀어요 아직 아기는 안써보고 어른인 제가 먼저 써봤는데  민감형인 제가 써도 좋30개월 남아 아기 발라주려고 샀어요 종종 제가 화장하는 모습을 따라할때가 있어서 쿠션형으로 샀어요 아직 아기는 안써보고 어른인 제가 먼저 써봤는데  민감형인 제가 써도 좋을정도로 선크림이 순하고 성분이 좋은것 같네요
