,평점,본문
26,5,중학교때 부터 써오던 선크림인데 다른 선크림은 이제 못쓰겠어요너무 뻑뻑 하지도 않고 너무 촉촉하지도 않고 딱 좋아요!! 얼굴도 자연스럽게 하얘져서 늘 이것만 바르고 나갑니중학교때 부터 써오던 선크림인데 다른 선크림은 이제 못쓰겠어요너무 뻑뻑 하지도 않고 너무 촉촉하지도 않고 딱 좋아요!! 얼굴도 자연스럽게 하얘져서 늘 이것만 바르고 나갑니당!! 배송도 빨랐어요!!
27,5,가성비 좋아요아이가 주로 바르고 저도 가끔 발라요 백탁약간있어요
28,5,좋아요항상 사용하던거라 구매했어요 좋네요
29,5,좋아요잘 사용중입니다 좋아요
30,5,너무좋아요!!!!!!너무좋아요!!!!!!
31,5,괜찮아요 순해서 쓸만합니다괜찮아요 순해서 쓸만합니다
32,5,배송도 빠르고 매번 구매하는데 좋네요배송도 빠르고 매번 구매하는데 좋네요
33,5,사용전인데 후기 좋아서 구매했어요사용전인데 후기 좋아서 구매했어요
34,5,감사합니다감사합니다
35,5,피부가 예민한편이라 선크림도 신중하게 고르는데  제품이 순해서 잘맞아요ㅠ  화장할때 베이스 대용으로 써도 좋구여!피부가 예민한편이라 선크림도 신중하게 고르는데  제품이 순해서 잘맞아요ㅠ  화장할때 베이스 대용으로 써도 좋구여!
36,5,쌩얼로 다니기 뻘쭘할때톤업크림처럼 사용하고있어요!너무 좋아요쌩얼로 다니기 뻘쭘할때톤업크림처럼 사용하고있어요!너무 좋아요
37,5,저렴하게 구입했어요예전에는 매장에서 구입했는데 온라인으로 구매해도 괜찮네요 배송은 바로 출발했는데 중간에 한 곳에서 하루를 보내 이틀 걸렸어요
38,4,온가족이 같이써기좋고 부드럽게잘발려서 좋아요온가족이 같이써기좋고 부드럽게잘발려서 좋아요
39,5,감사요빠른배송 감사합니다
40,4,잘 발리고 냄새도 적어서 좋아요잘 발리고 냄새도 적어서 좋아요
41,5,추천받고 구입했는데 발림성이 좋아 맘에듭니다추천받고 구입했는데 발림성이 좋아 맘에듭니다
42,5,이거 하나만 발라도 화장한것처럼 뽀샤시 늘 쓰는 제이거 하나만 발라도화장한것처럼 뽀샤시늘 쓰는 제품입니다
43,5,저렴하게 잘 샀어요아이랑 저랑저렴하게 잘 샀어요아이랑 저랑 잘 사용중입니다
44,5,학생때부터 지금까지 계속 재구매 중인데 피부화장 안하는 저한테 딱이에요! 너무 매트하지도 않고 적당한 백탁이 예쁩니당학생때부터 지금까지 계속 재구매 중인데 피부화장 안하는 저한테 딱이에요! 너무 매트하지도 않고 적당한 백탁이 예쁩니당
45,4,조아용조아요여오오야아이간조아용조아요여오오야아이간
46,5,평소 쓰던 제품인데  저렴하게 잘 구매해서 좋습니다  많이 파세요!평소 쓰던 제품인데  저렴하게 잘 구매해서 좋습니다  많이 파세요!
47,4,평소 바르던 양대로 바르다가 백탁이 너무 심해서 놀랐어요ㅎㅎ 그래도 트러블이 안나서 좋아요평소 바르던 양대로 바르다가 백탁이 너무 심해서 놀랐어요ㅎㅎ 그래도 트러블이 안나서 좋아요
