,date
639,2018
640,2018
641,2017
642,2017
643,2017
644,2017
645,2018
646,2020
647,2018
648,2020
649,2017
650,2019
651,2018
652,2019
653,2017
654,2020
655,2016
656,2018
657,2020
658,2020
659,2019
660,2016
661,2016
662,2019
663,2017
664,2018
665,2017
666,2020
667,2018
668,2021
669,2018
670,2020
671,2019
672,2018
673,2016
674,2019
675,2018
676,2020
677,2018
678,2017
679,2019
680,2019
681,2018
682,2017
683,2017
684,2018
685,2020
686,2019
687,2018
688,2020
689,2020
690,2018
691,2017
692,2017
693,2018
694,2021
695,2017
696,2016
697,2018
698,2019
699,2019
700,2017
701,2018
702,2017
703,2020
704,2018
705,2017
706,2018
707,2018
708,2019
709,2017
710,2018
711,2017
712,2016
713,2020
714,2016
715,2016
716,2019
717,2019
718,2016
719,2020
720,2018
721,2020
722,2017
723,2020
724,2020
725,2016
726,2018
727,2019
728,2018
729,2016
730,2020
731,2016
732,2020
733,2018
734,2018
735,2019
736,2017
737,2017
738,2017
739,2016
740,2020
741,2017
742,2019
743,2018
744,2016
745,2018
746,2016
747,2020
748,2017
749,2019
750,2017
751,2019
752,2020
753,2019
754,2017
755,2017
756,2017
757,2017
758,2017
759,2019
760,2019
761,2016
762,2017
763,2017
764,2017
765,2020
766,2017
767,2017
768,2017
769,2016
770,2020
771,2019
772,2017
773,2019
774,2020
775,2016
776,2019
777,2018
778,2020
779,2018
780,2021
781,2019
782,2017
783,2016
784,2017
785,2017
786,2020
787,2016
788,2018
789,2016
790,2018
791,2020
792,2018
793,2016
794,2018
795,2020
796,2016
797,2020
798,2019
799,2019
800,2018
801,2018
802,2016
803,2019
804,2017
805,2016
806,2020
807,2016
808,2018
809,2016
810,2017
811,2019
812,2021
813,2017
814,2016
815,2018
816,2017
817,2016
818,2016
819,2019
820,2019
821,2017
822,2017
823,2017
824,2019
825,2019
826,2019
827,2016
828,2019
829,2017
830,2018
831,2016
832,2017
833,2017
834,2021
835,2016
836,2019
837,2019
838,2017
839,2018
840,2017
841,2019
842,2017
843,2020
844,2019
845,2018
846,2017
847,2020
848,2018
849,2020
850,2019
851,2017
852,2016
853,2017
854,2018
855,2017
856,2016
857,2017
858,2021
859,2018
860,2020
861,2018
862,2019
863,2020
864,2016
865,2020
866,2018
867,2020
868,2016
869,2019
870,2018
871,2019
872,2020
873,2016
874,2016
875,2016
876,2019
877,2016
878,2016
879,2019
880,2016
881,2019
882,2017
883,2020
884,2019
885,2019
886,2019
887,2019
888,2017
889,2019
890,2016
891,2018
892,2017
893,2016
894,2020
895,2018
896,2017
897,2016
898,2016
899,2017
900,2020
901,2020
902,2017
903,2017
904,2019
905,2020
906,2020
907,2016
908,2016
909,2020
910,2018
911,2020
912,2017
913,2016
914,2020
915,2021
916,2016
917,2016
918,2020
919,2017
920,2016
921,2020
922,2016
923,2020
924,2019
925,2016
926,2016
927,2019
928,2018
929,2017
930,2016
931,2017
932,2016
933,2019
934,2019
935,2019
936,2017
937,2019
938,2020
939,2016
940,2020
941,2019
942,2017
943,2019
944,2021
945,2017
946,2018
947,2017
948,2017
949,2019
950,2019
951,2019
952,2020
953,2020
954,2016
955,2021
956,2020
957,2017
958,2017
959,2017
960,2016
961,2018
962,2020
963,2019
964,2019
965,2020
966,2017
967,2016
968,2016
969,2018
970,2019
971,2020
972,2016
973,2020
974,2017
975,2016
976,2020
977,2020
978,2019
979,2019
980,2018
981,2016
982,2016
983,2020
984,2020
985,2018
986,2021
987,2016
988,2020
989,2016
990,2020
991,2017
992,2018
993,2020
994,2018
995,2020
996,2016
997,2019
998,2019
999,2019
1000,2017
1001,2016
1002,2017
1003,2019
1004,2016
1005,2019
1006,2019
1007,2020
1008,2016
1009,2019
1010,2020
1011,2016
1012,2019
1013,2017
1014,2018
1015,2020
1016,2020
1017,2019
1018,2017
1019,2016
1020,2018
1021,2017
1022,2017
1023,2017
1024,2017
1025,2018
1026,2018
1027,2017
1028,2019
1029,2020
1030,2016
1031,2017
1032,2020
1033,2019
1034,2020
1035,2020
1036,2016
1037,2020
1038,2016
1039,2020
1040,2017
1041,2016
1042,2021
1043,2016
1044,2018
1045,2018
1046,2020
1047,2019
1048,2017
1049,2019
1050,2020
1051,2016
1052,2016
1053,2019
1054,2018
1055,2016
1056,2019
1057,2016
1058,2017
1059,2020
1060,2019
1061,2018
1062,2017
1063,2021
1064,2017
1065,2019
1066,2017
1067,2019
1068,2018
1069,2020
1070,2018
1071,2016
1072,2018
1073,2020
1074,2019
1075,2020
1076,2019
1077,2018
1078,2017
1079,2020
1080,2016
1081,2020
1082,2017
1083,2018
1084,2019
1085,2018
1086,2016
1087,2018
1088,2016
1089,2018
1090,2020
1091,2019
1092,2017
1093,2019
1094,2019
1095,2018
1096,2019
1097,2018
1098,2019
1099,2018
