,date
639,2017
640,2020
641,2019
642,2020
643,2017
644,2020
645,2020
646,2019
647,2017
648,2017
649,2017
650,2021
651,2018
652,2020
653,2017
654,2019
655,2020
656,2020
657,2020
658,2020
659,2016
660,2020
661,2020
662,2016
663,2020
664,2020
665,2020
666,2019
667,2017
668,2020
669,2017
670,2018
671,2020
672,2016
673,2018
674,2020
675,2018
676,2016
677,2020
678,2020
679,2020
680,2019
681,2020
682,2020
683,2019
684,2018
685,2020
686,2020
687,2020
688,2020
689,2020
690,2019
691,2020
692,2020
693,2018
694,2018
695,2020
696,2016
697,2019
698,2020
699,2019
700,2020
701,2020
702,2019
703,2020
704,2020
705,2018
706,2020
707,2018
708,2020
709,2017
710,2020
711,2019
712,2020
713,2017
714,2020
715,2019
716,2019
717,2020
718,2020
719,2017
720,2018
721,2019
722,2019
723,2018
724,2020
725,2020
726,2019
727,2019
728,2020
729,2020
730,2020
731,2018
732,2018
733,2020
734,2018
735,2017
736,2019
737,2019
738,2019
739,2018
740,2016
741,2019
742,2019
743,2019
744,2019
745,2018
746,2019
747,2017
748,2019
749,2017
750,2019
751,2019
752,2019
753,2017
754,2017
755,2019
756,2018
757,2017
758,2019
759,2017
760,2020
761,2019
762,2019
763,2018
764,2016
765,2018
766,2019
767,2020
768,2020
769,2019
770,2019
771,2020
772,2020
773,2019
774,2018
775,2019
776,2019
777,2017
778,2017
779,2019
780,2020
781,2019
782,2019
783,2020
784,2017
785,2017
786,2019
787,2020
788,2019
789,2019
790,2017
791,2017
792,2019
793,2017
794,2019
795,2019
796,2016
797,2017
798,2019
799,2020
800,2019
801,2021
802,2017
803,2019
804,2020
805,2019
806,2020
807,2020
808,2019
809,2020
810,2019
811,2016
812,2019
813,2019
814,2019
815,2019
816,2019
817,2019
818,2020
819,2019
820,2018
821,2020
822,2020
823,2019
824,2019
825,2017
826,2016
827,2019
828,2018
829,2017
830,2020
831,2018
832,2017
833,2019
834,2019
835,2018
836,2017
837,2019
838,2020
839,2018
840,2018
841,2019
842,2019
843,2018
844,2020
845,2017
846,2017
847,2016
848,2017
849,2020
850,2018
851,2018
852,2017
853,2019
854,2019
855,2019
856,2018
857,2018
858,2016
859,2018
860,2016
861,2020
862,2018
863,2017
864,2018
865,2016
866,2018
867,2016
868,2021
869,2019
870,2018
871,2016
872,2017
873,2017
874,2020
875,2018
876,2020
877,2019
878,2018
879,2020
880,2017
881,2017
882,2019
883,2020
884,2019
885,2020
886,2020
887,2020
888,2020
889,2020
890,2017
891,2020
892,2019
893,2016
894,2019
895,2020
896,2017
897,2016
898,2020
899,2020
900,2017
901,2020
902,2020
903,2016
904,2021
905,2020
906,2018
907,2019
908,2016
909,2020
910,2018
911,2018
912,2017
913,2017
914,2019
915,2019
916,2020
917,2017
918,2017
919,2020
920,2018
921,2019
922,2020
923,2019
924,2020
925,2017
926,2019
927,2020
928,2017
929,2020
930,2019
931,2017
932,2020
933,2017
934,2016
935,2019
936,2020
937,2020
938,2020
939,2016
940,2018
941,2019
942,2019
943,2021
944,2020
945,2018
946,2016
947,2020
948,2016
949,2020
950,2019
951,2016
952,2017
953,2020
954,2017
955,2020
956,2020
957,2020
958,2019
959,2020
960,2020
961,2020
962,2019
963,2020
964,2020
965,2016
966,2016
967,2017
968,2018
969,2016
970,2021
971,2016
972,2019
973,2019
974,2016
975,2017
976,2020
977,2020
978,2018
979,2020
980,2020
981,2020
982,2021
983,2020
984,2019
985,2021
986,2020
987,2020
988,2020
989,2018
990,2019
991,2020
992,2019
993,2019
994,2019
995,2020
996,2020
997,2020
998,2019
999,2016
1000,2019
1001,2018
1002,2020
1003,2020
1004,2021
1005,2017
1006,2020
1007,2021
1008,2017
1009,2019
1010,2020
1011,2019
1012,2016
1013,2019
1014,2020
1015,2017
1016,2020
1017,2019
1018,2021
1019,2019
1020,2019
1021,2017
1022,2020
1023,2019
1024,2019
1025,2018
1026,2017
1027,2016
1028,2020
1029,2019
1030,2019
1031,2018
1032,2020
1033,2019
1034,2020
1035,2020
1036,2019
1037,2018
1038,2019
1039,2019
1040,2020
1041,2020
1042,2020
1043,2019
1044,2019
1045,2020
1046,2020
1047,2019
1048,2019
1049,2016
1050,2020
1051,2019
1052,2020
1053,2019
1054,2020
1055,2018
1056,2019
1057,2019
1058,2017
1059,2019
1060,2019
1061,2018
1062,2019
1063,2019
1064,2019
1065,2020
1066,2020
1067,2016
1068,2019
1069,2020
1070,2020
1071,2020
1072,2019
1073,2019
1074,2019
1075,2018
1076,2020
1077,2017
1078,2019
1079,2019
1080,2020
1081,2020
1082,2020
1083,2020
1084,2019
1085,2017
1086,2018
1087,2020
1088,2020
1089,2019
1090,2021
1091,2020
1092,2019
1093,2019
1094,2019
1095,2020
1096,2016
1097,2019
1098,2019
1099,2017
1100,2020
1101,2020
1102,2020
1103,2019
1104,2019
1105,2016
1106,2020
1107,2018
1108,2019
1109,2019
1110,2019
1111,2019
1112,2021
1113,2020
1114,2020
1115,2021
1116,2016
1117,2019
1118,2020
1119,2020
1120,2019
1121,2019
1122,2019
1123,2019
1124,2019
1125,2020
1126,2020
1127,2019
1128,2018
1129,2019
1130,2017
1131,2019
1132,2019
1133,2020
1134,2019
1135,2020
1136,2019
1137,2020
1138,2019
1139,2020
1140,2020
1141,2019
1142,2019
1143,2019
1144,2019
1145,2019
1146,2018
1147,2018
1148,2020
1149,2016
1150,2016
1151,2020
1152,2018
1153,2018
1154,2019
1155,2019
1156,2016
1157,2020
1158,2020
1159,2019
1160,2020
1161,2018
1162,2018
1163,2018
1164,2019
1165,2016
1166,2016
1167,2019
1168,2019
1169,2021
1170,2017
1171,2020
1172,2020
1173,2018
1174,2017
1175,2019
1176,2019
1177,2020
1178,2020
1179,2019
1180,2018
1181,2018
1182,2018
1183,2019
1184,2016
1185,2021
1186,2019
1187,2020
1188,2019
1189,2019
1190,2021
1191,2017
1192,2019
1193,2020
1194,2020
1195,2018
1196,2020
1197,2020
1198,2020
1199,2019
1200,2018
1201,2019
1202,2017
1203,2016
1204,2018
1205,2018
1206,2019
1207,2018
1208,2016
1209,2016
1210,2016
1211,2019
1212,2018
1213,2018
1214,2018
1215,2019
1216,2021
1217,2019
1218,2019
1219,2021
1220,2018
1221,2020
1222,2018
1223,2017
1224,2021
1225,2019
1226,2018
1227,2021
1228,2018
1229,2019
1230,2019
1231,2017
1232,2019
1233,2017
1234,2018
1235,2018
1236,2017
1237,2018
1238,2018
1239,2018
1240,2020
1241,2019
1242,2017
1243,2017
1244,2016
1245,2017
1246,2019
1247,2017
1248,2016
1249,2019
1250,2018
1251,2017
1252,2020
1253,2019
1254,2018
1255,2017
1256,2018
1257,2016
1258,2019
1259,2020
1260,2018
1261,2018
1262,2018
1263,2018
1264,2017
1265,2018
1266,2017
1267,2017
1268,2019
1269,2021
1270,2019
1271,2016
1272,2020
1273,2021
1274,2017
1275,2019
1276,2017
1277,2017
1278,2019
1279,2021
1280,2019
1281,2017
1282,2016
1283,2017
1284,2020
1285,2017
1286,2017
1287,2020
1288,2019
1289,2019
1290,2017
1291,2018
1292,2017
1293,2016
1294,2018
1295,2020
1296,2017
1297,2019
1298,2020
1299,2019
1300,2018
1301,2020
1302,2020
1303,2017
1304,2019
1305,2018
1306,2017
1307,2017
1308,2018
1309,2018
1310,2017
1311,2019
1312,2016
1313,2017
1314,2018
1315,2019
1316,2019
1317,2017
1318,2017
1319,2016
1320,2017
1321,2016
1322,2020
1323,2017
1324,2018
1325,2020
1326,2020
1327,2019
1328,2017
1329,2021
1330,2018
1331,2018
1332,2018
1333,2018
1334,2017
1335,2018
1336,2017
1337,2017
1338,2017
1339,2016
1340,2017
1341,2021
1342,2019
1343,2020
1344,2016
1345,2017
1346,2019
1347,2018
1348,2017
1349,2016
1350,2018
1351,2016
1352,2018
1353,2016
1354,2017
1355,2020
1356,2016
1357,2017
1358,2017
1359,2019
1360,2020
1361,2017
1362,2020
1363,2019
1364,2017
1365,2019
1366,2020
1367,2020
1368,2018
1369,2020
1370,2019
1371,2016
1372,2019
1373,2018
1374,2019
1375,2018
1376,2019
1377,2020
1378,2020
1379,2017
1380,2017
1381,2017
1382,2016
1383,2019
1384,2018
1385,2019
1386,2020
1387,2017
1388,2017
1389,2020
1390,2018
1391,2018
1392,2016
1393,2019
1394,2019
1395,2020
1396,2018
1397,2017
1398,2017
1399,2017
1400,2019
1401,2016
1402,2017
1403,2019
1404,2018
1405,2017
1406,2018
1407,2019
1408,2017
1409,2017
1410,2017
1411,2020
1412,2019
1413,2019
1414,2016
1415,2019
1416,2019
1417,2019
1418,2018
1419,2019
1420,2020
1421,2016
1422,2017
1423,2021
1424,2021
1425,2019
1426,2019
1427,2016
1428,2017
1429,2018
1430,2020
1431,2017
1432,2017
1433,2018
1434,2016
1435,2017
1436,2016
1437,2017
1438,2016
1439,2017
1440,2016
1441,2018
1442,2016
1443,2017
1444,2016
1445,2016
1446,2018
1447,2016
1448,2019
1449,2019
1450,2016
1451,2018
1452,2017
1453,2019
1454,2020
1455,2019
1456,2019
1457,2020
1458,2016
1459,2019
1460,2016
1461,2016
1462,2016
1463,2017
1464,2018
1465,2019
1466,2017
1467,2019
1468,2019
1469,2019
1470,2016
1471,2019
1472,2016
1473,2019
1474,2016
1475,2018
1476,2016
1477,2017
1478,2019
1479,2016
1480,2019
1481,2018
1482,2016
1483,2016
1484,2017
1485,2019
1486,2016
1487,2016
1488,2016
1489,2017
1490,2018
1491,2020
1492,2020
1493,2017
1494,2016
1495,2016
1496,2017
1497,2016
1498,2019
1499,2016
1500,2016
1501,2020
1502,2018
1503,2019
1504,2019
1505,2017
1506,2016
1507,2019
1508,2016
1509,2016
1510,2016
1511,2019
1512,2019
1513,2016
1514,2016
1515,2016
1516,2016
1517,2018
1518,2020
1519,2017
1520,2017
1521,2016
1522,2021
1523,2020
1524,2016
1525,2020
1526,2016
1527,2016
1528,2016
1529,2016
1530,2018
1531,2017
1532,2016
1533,2016
1534,2017
1535,2017
1536,2016
1537,2021
1538,2016
1539,2021
1540,2016
1541,2018
1542,2016
1543,2017
1544,2016
1545,2016
1546,2016
1547,2018
1548,2019
1549,2020
1550,2020
1551,2019
1552,2016
1553,2016
1554,2016
1555,2018
1556,2019
1557,2019
1558,2016
1559,2018
1560,2016
1561,2016
1562,2020
1563,2016
1564,2019
1565,2019
1566,2019
1567,2019
1568,2016
1569,2018
1570,2020
1571,2018
1572,2016
1573,2020
1574,2016
1575,2020
1576,2016
1577,2017
1578,2016
1579,2016
1580,2020
1581,2016
1582,2016
1583,2016
1584,2016
1585,2020
1586,2019
1587,2016
1588,2017
1589,2019
1590,2017
1591,2018
1592,2018
1593,2016
1594,2016
1595,2018
1596,2020
1597,2019
1598,2016
1599,2019
1600,2018
1601,2018
1602,2019
1603,2019
1604,2019
1605,2020
1606,2016
1607,2016
1608,2019
1609,2019
1610,2016
1611,2019
1612,2019
1613,2019
1614,2017
1615,2018
1616,2019
1617,2016
1618,2019
1619,2016
1620,2018
1621,2019
1622,2016
1623,2016
1624,2020
1625,2016
1626,2019
1627,2016
1628,2019
1629,2020
1630,2019
1631,2019
1632,2019
1633,2020
1634,2019
1635,2016
1636,2018
1637,2018
1638,2020
1639,2018
1640,2019
1641,2016
1642,2020
1643,2016
1644,2019
1645,2016
1646,2017
1647,2019
1648,2020
1649,2019
1650,2016
1651,2018
1652,2016
1653,2016
1654,2018
1655,2017
1656,2016
1657,2018
1658,2019
1659,2020
1660,2018
1661,2018
1662,2018
1663,2020
1664,2020
1665,2020
1666,2020
1667,2018
1668,2017
1669,2019
1670,2018
1671,2020
1672,2018
1673,2016
1674,2020
1675,2018
1676,2016
1677,2017
1678,2019
1679,2020
1680,2020
1681,2019
1682,2016
1683,2018
1684,2018
1685,2020
1686,2018
1687,2021
1688,2019
1689,2021
1690,2020
1691,2016
1692,2019
1693,2020
1694,2019
1695,2019
1696,2018
1697,2019
1698,2019
1699,2018
1700,2019
1701,2019
1702,2018
