,date
639,2020
640,2018
641,2016
642,2018
643,2019
644,2019
645,2018
646,2017
647,2016
648,2017
649,2017
650,2020
651,2020
652,2017
653,2016
654,2018
655,2020
656,2016
657,2016
658,2020
659,2017
660,2018
661,2016
662,2019
663,2016
664,2020
665,2020
666,2018
667,2016
668,2017
669,2020
670,2018
671,2018
672,2016
673,2017
674,2019
675,2016
676,2017
677,2016
678,2017
679,2016
680,2016
681,2017
682,2018
683,2018
684,2020
685,2017
686,2017
687,2016
688,2017
689,2017
690,2018
691,2020
692,2019
693,2017
694,2017
695,2020
696,2020
697,2019
698,2017
699,2019
700,2018
701,2016
702,2018
703,2020
704,2017
705,2016
706,2017
707,2016
708,2016
709,2018
710,2017
711,2016
712,2017
713,2019
714,2017
715,2020
716,2018
717,2016
718,2020
719,2016
720,2016
721,2016
722,2017
723,2018
724,2016
725,2016
726,2017
727,2019
728,2020
729,2020
730,2016
731,2017
732,2017
733,2017
734,2016
735,2020
736,2016
737,2017
738,2018
739,2019
740,2020
741,2020
742,2018
743,2020
744,2020
745,2020
746,2020
747,2020
748,2017
749,2020
750,2016
751,2016
752,2017
753,2018
754,2019
755,2020
756,2020
757,2018
758,2020
759,2020
760,2018
761,2018
762,2020
763,2019
764,2020
765,2018
766,2017
767,2017
768,2017
769,2020
770,2019
771,2020
772,2020
773,2018
774,2020
775,2020
776,2017
777,2016
778,2018
779,2020
780,2017
781,2019
782,2017
783,2019
784,2019
785,2016
786,2016
787,2020
788,2017
789,2020
790,2016
791,2016
792,2020
793,2018
794,2020
795,2016
796,2019
797,2017
798,2020
799,2017
800,2020
801,2016
802,2017
803,2017
804,2020
805,2017
806,2016
807,2020
808,2016
809,2016
810,2021
811,2019
812,2020
813,2020
814,2019
815,2016
816,2018
817,2018
818,2020
819,2020
820,2020
821,2017
822,2020
823,2020
824,2018
825,2018
826,2016
827,2016
828,2017
829,2019
830,2016
831,2016
832,2020
833,2016
834,2019
835,2020
836,2019
837,2020
838,2020
839,2020
840,2017
841,2018
842,2018
843,2017
844,2016
845,2017
846,2018
847,2017
848,2020
849,2016
850,2018
851,2019
852,2020
853,2017
854,2020
855,2020
856,2020
857,2018
858,2017
859,2020
860,2016
861,2020
862,2020
863,2020
864,2017
865,2016
866,2016
867,2020
868,2020
869,2019
870,2020
871,2018
872,2017
873,2018
874,2020
875,2016
876,2020
877,2019
878,2020
879,2018
880,2019
881,2018
882,2019
883,2017
884,2018
885,2016
886,2019
887,2017
888,2020
889,2020
890,2018
891,2019
892,2020
893,2019
894,2018
895,2018
896,2019
897,2016
898,2019
899,2020
900,2019
901,2018
902,2020
903,2017
904,2017
905,2018
906,2019
907,2018
908,2018
909,2019
910,2018
911,2020
912,2018
913,2019
914,2018
915,2018
916,2020
917,2019
918,2017
919,2018
920,2017
921,2017
922,2020
923,2018
924,2018
925,2016
926,2020
927,2017
928,2017
929,2018
930,2019
931,2018
932,2019
933,2018
934,2018
935,2018
936,2020
937,2019
938,2018
939,2019
940,2018
941,2016
942,2018
943,2018
944,2019
945,2017
946,2020
947,2019
948,2018
949,2019
950,2018
951,2018
952,2018
953,2018
954,2018
955,2018
956,2019
957,2019
958,2018
959,2020
960,2016
961,2020
962,2020
963,2019
964,2019
965,2019
966,2018
967,2017
968,2019
969,2018
970,2017
971,2019
972,2018
973,2019
974,2018
975,2017
976,2019
977,2020
978,2017
979,2019
980,2020
981,2018
982,2017
983,2017
984,2019
985,2019
986,2019
987,2019
988,2018
989,2019
990,2019
991,2016
992,2018
993,2020
994,2016
995,2016
996,2020
997,2019
998,2018
999,2017
1000,2019
1001,2019
1002,2017
1003,2017
1004,2017
1005,2017
1006,2018
1007,2019
1008,2018
1009,2019
1010,2019
1011,2020
1012,2018
1013,2018
1014,2019
1015,2019
1016,2019
1017,2016
1018,2020
1019,2017
1020,2018
1021,2016
1022,2017
1023,2017
1024,2019
1025,2016
1026,2021
1027,2017
1028,2019
1029,2018
1030,2016
1031,2017
1032,2017
1033,2018
1034,2019
1035,2016
1036,2017
1037,2019
1038,2018
1039,2019
1040,2016
1041,2018
1042,2020
1043,2018
1044,2019
1045,2019
1046,2018
1047,2017
1048,2018
1049,2016
1050,2018
1051,2017
1052,2019
1053,2019
1054,2017
1055,2019
1056,2019
1057,2018
1058,2019
1059,2017
1060,2017
1061,2016
1062,2020
1063,2018
1064,2019
1065,2017
1066,2016
1067,2019
1068,2018
1069,2018
1070,2016
1071,2018
1072,2018
1073,2019
1074,2019
1075,2016
1076,2017
1077,2019
1078,2016
1079,2018
1080,2018
1081,2019
1082,2020
1083,2017
1084,2018
1085,2019
1086,2017
1087,2019
1088,2017
1089,2018
1090,2017
1091,2016
1092,2018
1093,2019
1094,2018
1095,2019
1096,2017
1097,2017
1098,2017
1099,2017
1100,2017
1101,2017
1102,2019
1103,2018
1104,2019
1105,2019
1106,2018
1107,2018
1108,2018
1109,2019
1110,2019
1111,2018
1112,2019
1113,2016
1114,2018
1115,2016
1116,2018
1117,2018
1118,2018
1119,2016
1120,2019
1121,2018
1122,2018
1123,2019
1124,2019
1125,2017
1126,2018
1127,2018
1128,2017
1129,2019
1130,2016
1131,2019
1132,2018
1133,2019
1134,2019
1135,2016
1136,2019
1137,2016
1138,2017
1139,2018
1140,2016
1141,2018
1142,2017
1143,2016
1144,2016
1145,2018
1146,2017
1147,2019
1148,2018
1149,2019
1150,2018
1151,2016
1152,2019
1153,2017
1154,2016
1155,2018
1156,2018
1157,2019
1158,2017
1159,2018
1160,2018
1161,2018
1162,2019
1163,2017
1164,2019
1165,2019
1166,2019
1167,2016
1168,2018
1169,2019
1170,2019
1171,2018
1172,2019
1173,2016
1174,2019
1175,2020
1176,2017
1177,2019
1178,2017
1179,2016
1180,2019
1181,2020
1182,2017
1183,2018
1184,2019
1185,2018
1186,2016
1187,2018
1188,2019
1189,2019
1190,2018
1191,2016
1192,2018
1193,2017
1194,2018
1195,2019
1196,2016
1197,2019
1198,2016
1199,2017
1200,2018
1201,2018
1202,2016
1203,2019
1204,2017
1205,2020
1206,2018
1207,2016
1208,2018
1209,2017
1210,2019
1211,2018
1212,2017
1213,2016
1214,2017
1215,2017
1216,2018
1217,2016
1218,2018
1219,2019
1220,2018
1221,2017
1222,2018
1223,2018
1224,2019
1225,2019
1226,2016
1227,2018
1228,2018
1229,2018
1230,2018
1231,2018
1232,2018
1233,2019
1234,2016
1235,2019
1236,2018
1237,2017
1238,2018
1239,2018
1240,2019
1241,2019
1242,2016
1243,2018
1244,2018
1245,2016
1246,2019
1247,2017
1248,2016
1249,2018
1250,2018
1251,2018
1252,2017
1253,2018
1254,2016
1255,2019
1256,2016
1257,2016
1258,2018
1259,2018
1260,2018
1261,2019
1262,2021
1263,2018
1264,2018
1265,2018
1266,2019
1267,2018
1268,2018
1269,2018
1270,2020
1271,2020
1272,2018
1273,2017
1274,2016
1275,2018
1276,2016
1277,2018
1278,2019
1279,2018
1280,2018
1281,2017
1282,2018
1283,2018
1284,2018
1285,2018
1286,2019
1287,2017
1288,2018
1289,2017
1290,2017
1291,2018
1292,2018
1293,2016
1294,2020
1295,2017
1296,2019
1297,2018
